method,store,brand,alpha
croston,Toko_A,OPPO,0.05
croston,Toko_A,Realme,0.1
croston,Toko_A,Samsung,0.05
croston,Toko_A,Vivo,0.2
croston,Toko_A,Xiaomi,0.05
croston,Toko_B,OPPO,0.1
croston,Toko_B,Realme,0.05
croston,Toko_B,Samsung,0.05
croston,Toko_B,Vivo,0.05
croston,Toko_B,Xiaomi,0.05
croston,Toko_C,OPPO,0.05
croston,Toko_C,Realme,0.05
croston,Toko_C,Samsung,0.05
croston,Toko_C,Vivo,0.05
croston,Toko_C,Xiaomi,0.3
croston,Toko_D,OPPO,0.05
croston,Toko_D,Realme,0.05
croston,Toko_D,Samsung,0.05
croston,Toko_D,Vivo,0.05
croston,Toko_D,Xiaomi,0.05
tsb,Toko_A,OPPO,0.1
tsb,Toko_A,Realme,0.1
tsb,Toko_A,Samsung,0.1
tsb,Toko_A,Vivo,0.1
tsb,Toko_A,Xiaomi,0.05
tsb,Toko_B,OPPO,0.05
tsb,Toko_B,Realme,0.05
tsb,Toko_B,Samsung,0.05
tsb,Toko_B,Vivo,0.05
tsb,Toko_B,Xiaomi,0.1
tsb,Toko_C,OPPO,0.05
tsb,Toko_C,Realme,0.05
tsb,Toko_C,Samsung,0.05
tsb,Toko_C,Vivo,0.05
tsb,Toko_C,Xiaomi,0.1
tsb,Toko_D,OPPO,0.2
tsb,Toko_D,Realme,0.05
tsb,Toko_D,Samsung,0.05
tsb,Toko_D,Vivo,0.05
tsb,Toko_D,Xiaomi,0.05
