model,store,brand,z,sigma_error,mean_weekly_demand,safety_stock,reorder_point,order_up_to_level
RF(gt),Toko_A,OPPO,1.6448536269514722,2.061086724957651,2.4864864864864864,4.794446984823543,9.767419957796516,12.253906444283002
RF(gt),Toko_A,Realme,1.6448536269514722,1.7772132185881144,3.054054054054054,4.134107727768421,10.242215835876529,13.296269889930583
RF(gt),Toko_A,Samsung,1.6448536269514722,1.8665575487446129,2.108108108108108,4.341938213086162,8.558154429302377,10.666262537410486
RF(gt),Toko_A,Vivo,1.6448536269514722,1.8152906707421688,1.837837837837838,4.222682518658658,7.8983581943343335,9.736196032172172
RF(gt),Toko_A,Xiaomi,1.6448536269514722,2.4107797615673103,3.4864864864864864,5.6078939420453064,12.58086691501828,16.067353401504768
RF(gt),Toko_B,OPPO,1.6448536269514722,1.6722213859311705,2.3513513513513513,3.889878424159895,8.592581126862598,10.943932478213949
RF(gt),Toko_B,Realme,1.6448536269514722,2.1021988273971397,3.27027027027027,4.8900809012395605,11.4306214417801,14.700891712050371
RF(gt),Toko_B,Samsung,1.6448536269514722,1.4340278768379608,2.027027027027027,3.335798803128935,7.389852857182989,9.416879884210015
RF(gt),Toko_B,Vivo,1.6448536269514722,1.435367962755545,1.7297297297297298,3.338916076560065,6.798375536019525,8.528105265749254
RF(gt),Toko_B,Xiaomi,1.6448536269514722,2.0346423162765848,2.5405405405405403,4.7329326807764955,9.814013761857577,12.354554302398117
RF(gt),Toko_C,OPPO,1.6448536269514722,1.7121183689182498,1.7027027027027026,3.982685760925353,7.388091166330758,9.090793869033462
RF(gt),Toko_C,Realme,1.6448536269514722,1.9476364223421254,2.4594594594594597,4.530541805717846,9.449460724636765,11.908920184096225
RF(gt),Toko_C,Samsung,1.6448536269514722,1.455490888391875,1.8108108108108107,3.3857255091640783,7.0073471307857,8.81815794159651
RF(gt),Toko_C,Vivo,1.6448536269514722,1.4537755338513285,1.1081081081081081,3.3817352955038573,5.5979515117200735,6.706059619828181
RF(gt),Toko_C,Xiaomi,1.6448536269514722,1.44686634127104,1.837837837837838,3.3656633092390336,7.041338984914709,8.879176822752548
RF(gt),Toko_D,OPPO,1.6448536269514722,1.3227598946915158,1.4594594594594594,3.076970081828824,5.995889000747743,7.455348460207203
RF(gt),Toko_D,Realme,1.6448536269514722,1.7900166942434312,2.054054054054054,4.163890843882642,8.27199895199075,10.326053006044804
RF(gt),Toko_D,Samsung,1.6448536269514722,1.0096222805823556,0.8918918918918919,2.348557409222168,4.132341193005952,5.024233084897844
RF(gt),Toko_D,Vivo,1.6448536269514722,1.759545606242117,1.5675675675675675,4.093009781856883,7.228144916992018,8.795712484559585
RF(gt),Toko_D,Xiaomi,1.6448536269514722,1.6010381249847148,1.7297297297297298,3.7242937514326213,7.183753210892081,8.913482940621812
